delta_date_hour,tempo_lav,ore_lav_rim,[0.0-0.5),[0.5-1.5),[1.5-2.5),[2.5-3.5),[3.5-4.5),[4.5-5.5),[5.5-6.5),[6.5-7.5),[7.5-8.5),[8.5-9.5),[9.5-10.5),[10.5-11.5),[11.5-12.5),[12.5-13.5),[13.5-14.5),[14.5-15.5),[15.5-16.5),[16.5-17.5),[17.5-18.5),[18.5-19.5),[19.5-20.5),[20.5-21.5),[21.5-22.5),[22.5-23.5),[23.5-24.5),[24.5-25.5),[25.5-26.5),[26.5-27.5),[27.5-28.5),[28.5-29.5),[29.5-30.5),[30.5-31.5),[31.5-32.5),[32.5-33.5),[33.5-34.5),[34.5-35.5),[35.5-36.5),[36.5-37.5),[37.5-38.5),[38.5-39.5),[39.5-40.5)
1294,24.0,603.55,3726,47030,20728,6034,3972,2896,857,961,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561,48.0,579.55,13372,94978,41249,11288,6195,3286,1270,961,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745,72.0,555.55,16174,141667,66170,19644,8455,4133,1290,961,306,383,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896,96.0,531.55,21195,185399,89324,29330,12666,4375,1642,961,306,383,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,120.0,507.55,24449,227719,123360,34889,13631,4644,1642,961,306,383,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2182,144.0,483.55,30943,277658,150417,37400,14029,4644,1642,961,306,383,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2421,168.0,459.55,36354,328293,172713,42015,15394,6517,1845,961,306,383,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2590,192.0,435.55,40366,372552,195716,51862,18478,7451,2497,1175,417,512,139,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2788,216.0,411.55,46129,423346,217145,56710,19908,8538,3515,1211,417,512,139,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,240.0,387.55,59873,470413,234423,63337,20113,9023,4121,1512,501,512,139,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3262,264.0,363.55,64932,531158,244596,72834,21039,9023,4121,1512,501,512,139,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3914,288.0,339.55,67696,568137,264994,80180,25957,13321,7873,4270,2312,1273,509,160,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4269,312.0,315.55,70354,617473,287300,90412,26668,13840,7923,4270,2312,1273,509,160,100,367,220,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4468,336.0,291.55,72661,673326,304471,101395,26759,13840,7923,4270,2312,1273,509,160,100,367,220,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4797,360.0,267.55,73832,729061,322745,110641,28026,13880,8082,4301,2335,1273,509,160,100,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5036,384.0,243.55,78568,786845,340672,115816,28415,14117,8102,4441,2335,1273,509,160,100,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5299,408.0,219.55,79190,847418,358708,121473,29342,14606,8192,4441,2335,1273,509,160,100,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5639,432.0,195.55,79250,907519,376547,129183,29661,14714,8454,4441,2335,1273,509,160,100,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
5856,456.0,171.55,79250,967451,396739,134022,31062,14724,8466,4449,2335,1273,509,160,100,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
6195,480.0,147.55,79286,1024946,419113,139758,31353,15156,8504,4449,2335,1273,509,160,100,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
6479,504.0,123.55,79819,1084623,441986,140295,31823,15201,10174,5012,2355,1283,509,160,100,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
6630,528.0,99.55,80287,1140667,471529,140571,31857,15211,10204,5012,2355,1283,509,160,100,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
7148,552.0,75.55,80588,1189427,504027,143119,31951,15331,10372,5327,2687,1699,927,550,140,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
7488,576.0,51.55,83009,1241615,533037,145773,32059,15351,10372,5327,2687,1699,927,550,140,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
7775,600.0,27.55,85158,1291744,563731,148703,32557,15351,10372,5327,2687,1699,927,550,140,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
7898,624.0,3.55,87880,1334134,601886,151723,32631,15351,10372,5350,2687,1700,935,550,140,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
7946,627.55,0.0,88701,1342117,605594,152013,32631,15351,10372,5350,2687,1700,935,550,140,367,220,419,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
